User_ID,Age,Gender,Location,Subscription_Start_Date,Subscription_Type,Monthly_Payment,Payment_Method,Monthly_Hours_Watched,Favorite_Genre,Devices_Used,Average_Session_Length,Content_ID,Rating_Given,Churned,Date_of_Churn,Reason_for_Churn
1,56,Other,Central,2020-06-07,Premium,19.99,Credit Card,31.5131527,Action,PC,1.195762147,1023,5,0,,
2,69,Other,West,2024-02-21,Standard,14.99,Credit Card,4.982277267,Drama,PC,0.809001685,1076,1,0,,
3,46,Female,North,2022-10-06,Standard,14.99,PayPal,4.114952522,Sci-Fi,Tablet,1.153569803,1095,2,0,,
4,32,Female,East,2022-01-04,Standard,14.99,Credit Card,60.24481988,Action,TV,0.60950268,1003,1,0,,
5,60,Female,North,2020-03-13,Standard,14.99,Credit Card,4.711855182,Sci-Fi,Mobile,0.359971167,1012,4,0,,
6,25,Other,South,2023-10-26,Basic,9.99,PayPal,6.046943754,Drama,Tablet,2.336846856,1072,5,0,,
7,38,Female,Central,2021-02-06,Basic,9.99,Direct Debit,69.87674228,Comedy,TV,1.445444965,1056,4,0,,
8,56,Female,North,2023-05-26,Basic,9.99,Credit Card,26.53852645,Drama,TV,0.446672668,1097,4,0,,
9,36,Male,East,2021-09-29,Standard,14.99,Credit Card,24.05257636,Drama,PC,0.770117756,1036,2,0,,
10,40,Female,West,2020-07-22,Basic,9.99,PayPal,38.33644055,Drama,TV,1.792034802,1047,4,0,,
11,28,Female,West,2019-06-10,Standard,14.99,PayPal,2.461962063,Documentary,Mobile,0.149941439,1070,2,0,,
12,28,Other,East,2019-12-12,Premium,19.99,Credit Card,24.48053335,Sci-Fi,TV,0.3190539,1000,5,0,,
13,41,Other,North,2021-04-22,Standard,14.99,Direct Debit,14.01103491,Sci-Fi,Mobile,0.152133387,1059,5,1,53:37.7,Found better service
14,70,Other,South,2020-10-29,Standard,14.99,Direct Debit,35.33946096,Sci-Fi,Mobile,3.346005365,1011,2,1,53:37.7,Found better service
15,53,Other,East,2023-10-06,Standard,14.99,Credit Card,14.191293,Documentary,Mobile,2.791956059,1020,1,1,53:37.7,Price increase
16,57,Other,North,2019-09-22,Premium,19.99,Credit Card,19.36438742,Comedy,Tablet,2.799269353,1010,5,0,,
17,41,Other,South,2019-07-27,Premium,19.99,Credit Card,12.99187605,Drama,Mobile,2.519854546,1043,1,1,53:37.7,Found better service
18,20,Female,North,2022-10-12,Premium,19.99,PayPal,13.00784377,Comedy,Mobile,2.213604008,1057,5,0,,
19,39,Other,North,2022-03-19,Premium,19.99,Credit Card,29.21777022,Documentary,Mobile,1.296316714,1043,5,0,,
20,70,Other,South,2023-08-19,Basic,9.99,PayPal,19.80770335,Sci-Fi,Mobile,2.055999175,1077,3,0,,
21,19,Male,North,2022-05-08,Premium,19.99,PayPal,20.06221718,Drama,Tablet,0.078233471,1097,4,0,,
22,41,Female,East,2023-07-29,Standard,14.99,Credit Card,11.96701479,Action,Tablet,1.94289043,1033,4,0,,
23,61,Female,West,2019-10-09,Basic,9.99,PayPal,15.14772011,Action,Mobile,3.009054346,1024,1,0,,
24,47,Female,Central,2020-04-07,Premium,19.99,Direct Debit,27.38620158,Comedy,PC,1.387728317,1003,4,0,,
25,55,Other,South,2020-07-03,Basic,9.99,Credit Card,34.96720984,Sci-Fi,TV,0.884818414,1063,1,0,,
26,19,Other,North,2023-05-11,Standard,14.99,Credit Card,23.85152005,Action,PC,0.649872918,1089,5,0,,
27,38,Other,North,2020-04-25,Basic,9.99,Credit Card,51.55965559,Comedy,Mobile,2.058930339,1015,3,0,,
28,50,Male,West,2023-02-21,Standard,14.99,Direct Debit,34.33201081,Documentary,PC,2.360520359,1009,3,0,,
29,29,Other,West,2024-02-04,Standard,14.99,Direct Debit,16.5045087,Comedy,Mobile,4.095383485,1065,5,0,,
30,39,Male,North,2019-11-05,Standard,14.99,Credit Card,22.25865108,Comedy,Mobile,0.838116401,1034,2,1,53:37.7,Price increase
31,61,Female,Central,2022-04-15,Standard,14.99,PayPal,52.15729583,Comedy,Mobile,2.937372984,1082,2,0,,
32,42,Other,North,2021-12-22,Standard,14.99,Credit Card,19.30794124,Drama,TV,1.648133456,1005,4,0,,
33,66,Male,East,2020-05-20,Premium,19.99,Credit Card,34.83733517,Comedy,Mobile,4.288369608,1018,1,0,,
34,44,Male,West,2023-12-17,Basic,9.99,Credit Card,23.34706478,Comedy,Mobile,1.500756594,1058,3,0,,
35,59,Other,Central,2020-09-30,Standard,14.99,Credit Card,16.05640011,Drama,Mobile,1.458086938,1052,4,1,53:37.7,Dissatisfied with content
